0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/js/jquery.blockui.js HTTP/1.1" 200 19357
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/library/jquery-validation/jquery.validate.min.js HTTP/1.1" 200 20886
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/library/uniform/jquery.uniform.min.js HTTP/1.1" 200 8308
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/js/securecloud.js HTTP/1.1" 200 12747
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/js/app.js HTTP/1.1" 200 107433
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/uipackage/logo/logo-big.png HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/img/index-2.0/logo-big.png HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/library/font-awesome/font/fontawesome-webfont.woff HTTP/1.1" 200 31840
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/img/index-2.0/small-weibo-c.png HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/img/syncfusion-icons-white.png HTTP/1.1" 200 5550
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/uipackage/data/data.json HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/library/uniform/images/sprite.png HTTP/1.1" 200 31621
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:23 +0800] "GET /index.aspx HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:37:22 +0800] "GET /SecureCloud/login.jsp HTTP/1.1" 200 12003
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:37:22 +0800] "GET /SecureCloud/resource/css/metro.css HTTP/1.1" 200 13372
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:37:22 +0800] "GET /SecureCloud/resource/library/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 105939
